5,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额400,1,15,38,400,JT0103801,1,1个月38元保额 理赔金额400元 一次理赔,1463104516,25,0,1,/data/upload/shop/shop/common/05223287311579260.png,,,,0
8,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额800,1,15,48,800,JT0104801,1,1个月48元保额 理赔金额800元 一次理赔,1463105422,25,0,1,/data/upload/shop/shop/common/05223290497473049.png,,,,0
9,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/全额理赔,1,15,58,0,JT0105801,1,1个月58元保额 全额理赔 一次理赔,1463105496,25,0,1,/data/upload/shop/shop/common/05223293419078101.png,,,,0
10,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额400,3,15,48,400,JT0304801,1,3个月48元保额 理赔金额400元 一次理赔,1463105584,25,0,1,/data/upload/shop/shop/common/05223297417213577.png,,,,0
11,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额800,3,15,68,800,JT0306801,1,3个月68元保额 理赔金额800元 一次理赔,1463105640,25,0,1,/data/upload/shop/shop/common/05223298664473963.png,,,,0
12,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/全额理赔,3,15,78,0,JT0307801,1,3个月78元保额 全额理赔一次,1463105698,25,0,1,/data/upload/shop/shop/common/05223300154086456.png,,,,0
13,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额400,6,15,68,400,JT0606801,1,6个月68元保额 理赔金额400元 一次理赔,1463105750,25,0,1,/data/upload/shop/shop/common/05223379846320818.png,,,,0
14,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/理赔金额800,6,15,88,800,JT0608801,1,6个月88元保额 理赔金额800元 一次理赔,1463105910,25,0,1,/data/upload/shop/shop/common/05223380976801585.png,,,,0
15,3,锦泰保险,4,碎屏无忧,乐换新碎屏无忧/全额理赔,6,50,128,0,JT0612801,1,6个月128元保额 全额理赔一次,1463105953,68,0,1,/data/upload/shop/shop/common/05223382435109935.png,,,,0
21,6,中国人寿,4,碎屏无忧,乐换新碎屏无忧/理赔金额1000,12,53,188,1000,RS1218801,1,中国人寿财产保险股份有限公司 12个月188元保额 理赔金额1000元,1463477948,98,0,1,/data/upload/shop/shop/common/05253647582021890.png,,,,0
22,6,中国人寿,4,碎屏无忧,乐换新碎屏无忧/理赔金额2000,12,88,299,2000,RS1229901,1,中国人寿财产保险股份有限公司 12个月299元保额 理赔金额2000元,1463477975,168,0,1,/data/upload/shop/shop/common/05253649016275575.png,,,,0
